"CO","AB","FACID","DIS","FNAME","FSTREET","FCITY","FZIP","FSIC","COID","DISN","CHAPIS","CERR_CODE","TOGT","ROGT","COT","NOXT","SOXT","PMT","PM10T"
19,"SC",48012,"SC","CORRU-KRAFT ALHAMBRA","3201 W MISSION RD","ALHAMBRA","91803",8742,"LA","SOUTH COAST AQMD","","",2.46612128905007459387743286594570986868,1.94311,1.91,2.36,.0100406,1.717243,1.060839082
30,"SC",104641,"SC","CORRU-KRAFT BUENA PARK","6600 VALLEY VIEW ST","BUENA PARK","90620",5113,"ORA","SOUTH COAST AQMD","","",4.00234103851539138727326639882806969771,3.01623,1.77,.6,.0200399,3.55796,2.18978444
30,"SC",62589,"SC","CORRU-KRAFT, ORORA","1901-11 E ROSSLYNN AVE","FULLERTON","92831",5113,"ORA","SOUTH COAST AQMD","","",4.06919813492080414431167811126575918407,2.779825524,.92922908,.274724436,.01435842,.88427969,.66655249696
19,"SC",125656,"SC","COSMETIC ENTERPRISES LTD","12848  PIERCE ST","PACOIMA","91331",2844,"LA","SOUTH COAST AQMD","","",.0961034421784745962513261817753153365558,.08152455,,,,.1065734,.09591606
30,"SC",63629,"SC","COSTA MESA CITY","2450  VANGUARD WAY","COSTA MESA","92626",9111,"ORA","SOUTH COAST AQMD","","",.000533318171480554923811689788492153741187,.000469,.00128,.00586,.00000263,.000419,.000416486
30,"SC",124378,"SC","COSTA MESA CITY HALL","79  FAIR DR","COSTA MESA","92626",9111,"ORA","SOUTH COAST AQMD","","",.004275642483511485103479645212644985217194,.00376,.0102,.04,.000021,.00336,.00333984
30,"SC",3495,"SC","COSTA MESA CITY, CORP YARD","2310  PLACENTIA AVE","COSTA MESA","92627",9311,"ORA","SOUTH COAST AQMD","","",.001159536342961109847623379576984307482374,.0010309,.00255,.01,.00000525,.000838,.000832972
30,"SC",190772,"SC","COSTA MESA MAINTENANCE CA DEPT OF TRANS","1090  BRISTOL ST","COSTA MESA","92626",4225,"ORA","SOUTH COAST AQMD","","",.001603365931316806913804866954741869456448,.00141,.00383,.01,.00000788,.00126,.00125244
30,"SC",176376,"SC","COSTA MESA SANITARY DISTRICT","999  WILSON ST","COSTA MESA","92627",4952,"ORA","SOUTH COAST AQMD","","",.00033773027063907209460996133727541505572,.000297,.000809,.00372,.00000167,.000266,.000264404
30,"SC",193623,"SC","COSTA MESA SANITARY DISTRICT","2034  PRESIDENT PL","COSTA MESA","92627",4952,"ORA","SOUTH COAST AQMD","","",.00037753013418239708892426654537184443939,.000332,.000902,.00415,.00000186,.000296,.000294224
30,"SC",179518,"SC","COSTA MESA SANITARY DISTRICT CORPORATE Y","174 W WILSON ST","COSTA MESA","92627",4952,"ORA","SOUTH COAST AQMD","","",.00007914487150329770297930407095747100295656,.0000696,.000189,.00087,.00000039,.0000621,.0000617274
36,"SC",113302,"SC","COSTCO WHOLESALE CORP.","13101  PEYTON DR","CHINO HILLS","91709",5399,"SBD","SOUTH COAST AQMD","","",4.227775135,4.227775135,,,,,
